Ticker,EDID,Name,Sector
ABIO,7814,Артген биотех (ИСКЧ),💊 Фарма
ABRD,26517,Абрау-Дюрсо,🌽 Агро
ACKO,36458,АСКО,💵 Финансы
AFKS,4772,АФК Система,💵 Финансы
AFLT,1480,Аэрофлот,✈️ Авиа
AKRN,357,Акрон,🌱 Удобрения
ALRS,199,АЛРОСА,💎 Майнинг
ANGE,20514,Анжеромаш,🏭 Промышленность
APRI,37277,АПРИ,🏗️ Девелопмент
APTK,1216,Аптеки 36 и 6,🛍️ Ретейл
AQUA,17531,Инарктика,🌽 Агро
ARPO,8296,Омский Аэропорт,🛬 Аэропорты
ARPOP,8296,Омский Аэропорт,🛬 Аэропорты
ARSA,7220,Арсагера,💵 Финансы
ASSB,5966,Астраханьэнергосбыт,🔌 Сбыты
ASTR,38906,Астра,🧑‍💻 IT
AVAN,1070,Авангард,🏦 Банки
BANE,1976,Башнефть,🛢️ Нефтегаз
BANEP,1976,Башнефть,🛢️ Нефтегаз
BELU,7380,НоваБев,🛍️ Ретейл
BESK,32184,БЭСК,
BESKP,32184,БЭСК,
BGES,1573,Богучанская ГЭС,
BGESP,1573,Богучанская ГЭС,
BISV,201,Башинформсвязь,📱 Телеком
BISVP,201,Башинформсвязь,📱 Телеком
BLGH,14110,Белгородский хладокомбинат,
BLNG,332,Белон,🪨 Металлургия
BMSM,2289,Бамстроймеханизация,🚧 Инфраструктура
BMSMP,2289,Бамстроймеханизация,🚧 Инфраструктура
BNGF,1245,Башнефтегеофизика,🛢️ Нефтесервис
BOGN,2665,"Богдановичское ""Огнеупоры""",🏭 Промышленность
BRAD,3728,БРУ (Богословское рудоуправление),
BRSZ,9629,БСЗ,
BRZL,1499,Бурятзолото,💎 Майнинг
BSPB,3935,Банк Санкт-Петербург,🏦 Банки
BSPBP,3935,Банк Санкт-Петербург,🏦 Банки
BTST,19653,Бамтоннельстрой,🚧 Инфраструктура
BTSTP,19653,Бамтоннельстрой,🚧 Инфраструктура
CARM,38808,КарМани (СТГ),🏦 Банки
CBOM,202,МКБ,🏦 Банки
CENH,14372,Центрэнергохолдинг,
CENHP,14372,Центрэнергохолдинг,
CHEP,2772,ЧТПЗ,🪨 Металлургия
CHGZ,3867,РН-Западная Сибирь,
CHKZ,3306,ЧКПЗ,🪖 ВПК
CHLB,1946,Челиндбанк,🏦 Банки
CHMF,30,Северсталь,🪨 Металлургия
CHMK,2116,ЧМК,🪨 Металлургия
CNRU,39286,Циан,🧑‍💻 IT
CNTL,369,Центральный телеграф,
CNTLP,369,Центральный телеграф,
DATA,39154,Аренадата,🧑‍💻 IT
DELI,38653,Делимобиль (Каршеринг Руссия),🛴 Шеринг
DGBZ,321,Дорогобуж,🧪 Химия
DGIT,38343,ДИМ (Дороги и Мосты),🚧 Инфраструктура
DGTL,39294,Цифровые привычки,🧑‍💻 IT
DIAS,38975,Диасофт,🧑‍💻 IT
DIOD,10180,ДИОД,💊 Фарма
DNPP,16721,ДНПП,🏭 Промышленность
DSKY,6788,Детский Мир,🛍️ Ретейл
DVEC,11385,ДЭК,
DZRD,5496,ДЗРД - Донской завод радиодеталей,🖥️ Технологии
DZRDP,5496,ДЗРД - Донской завод радиодеталей,🖥️ Технологии
EELT,36330,Европейская Электротехника,🏭 Промышленность
ELFV,5732,Эл5 Энерго (Энел),🔋 Генерация
ELMT,38265,Элемент,🖥️ Технологии
ENPG,37955,En+,🔋 Генерация
ETLN,38096,Эталон,🏗️ Девелопмент
EUTR,38758,ЕВРОТРАНС,⛽️ АЗС
FEES,379,Россети,💡 Сети
FESH,83,ДВМП,🚚 Транспорт
FIXP,39347,Fix Price,🛍️ Ретейл
FIXR,39347,Фикс Прайс,🛍️ Ретейл
FLOT,11967,Совкомфлот,🚚 Транспорт
GAZA,859,ГАЗ,🚗 Автопром
GAZAP,859,ГАЗ,🚗 Автопром
GAZC,11633,Газкон,💵 Финансы
GAZP,934,Газпром,🛢️ Нефтегаз
GAZS,12078,ГАЗ-сервис,💵 Финансы
GAZT,29479,Газ-Тек,
GCHE,6652,Черкизово,🌽 Агро
GECO,38201,Генетико,💊 Фарма
GEMA,37646,ММЦБ,
GEMC,39022,ЕМС | ЮМГ,🏥 Медицина
GMKN,564,ГМК Норникель,💎 Майнинг
GNYAP,18139,Газпромнефть-Ярославль,🏠 Аренда
GPVNP,14553,Гипровостокнефть,🛢️ Нефтесервис
GRNT,32725,ГИТ,
GSRB,2093,ГГР Уфа,💨 Облгаз
GTRK,37114,Globaltruck (ГТМ),
GZAV,5063,Газпром Автоматизация,🚧 Инфраструктура
GZAVP,5063,Газпром Автоматизация,🚧 Инфраструктура
HEAD,39017,HeadHunter,🧑‍💻 IT
HIMC,5727,Химпром,🧪 Химия
HIMCP,5727,Химпром,🧪 Химия
HNFG,38967,Henderson,🛍️ Ретейл
